task	description	conds	weights
VOE	alltest-notboth-unexp-gt-exp	psychology_fam psychology_unexp psychology_exp physics_fam physics_unexp physics_exp both_fam both_unexp both_exp fixation	0 1 -1 0 1 -1 0 0 0 0
VOE	alltest-includingboth-unexp-gt-exp	psychology_fam psychology_unexp psychology_exp physics_fam physics_unexp physics_exp both_fam both_unexp both_exp fixation	0 1 -1 0 1 -1 0 1 -1 0
VOE	alltest-notboth-exp-gt-unexp	psychology_fam psychology_unexp psychology_exp physics_fam physics_unexp physics_exp both_fam both_unexp both_exp fixation	0 -1 1 0 -1 1 0 0 0 0
VOE	alltest-includingboth-exp-gt-unexp	psychology_fam psychology_unexp psychology_exp physics_fam physics_unexp physics_exp both_fam both_unexp both_exp fixation	0 -1 1 0 -1 1 0 -1 1 0
VOE	psychtest-unexp-gt-exp	psychology_fam psychology_unexp psychology_exp physics_fam physics_unexp physics_exp both_fam both_unexp both_exp fixation	0 1 -1 0 0 0 0 0 0 0
VOE	phystest-unexp-gt-exp	psychology_fam psychology_unexp psychology_exp physics_fam physics_unexp physics_exp both_fam both_unexp both_exp fixation	0 0 0 0 1 -1 0 0 0 0
VOE	bothtest-unexp-gt-exp	psychology_fam psychology_unexp psychology_exp physics_fam physics_unexp physics_exp both_fam both_unexp both_exp fixation	0 0 0 0 0 0 0 1 -1 0
VOE	allpsych-gt-allphys	psychology_fam psychology_unexp psychology_exp physics_fam physics_unexp physics_exp both_fam both_unexp both_exp fixation	1 1 1 -1 -1 -1 0 0 0 0
VOE	allphys-gt-allpsych	psychology_fam psychology_unexp psychology_exp physics_fam physics_unexp physics_exp both_fam both_unexp both_exp fixation	-1 -1 -1 1 1 1 0 0 0 0
VOE	allboth-gt-allphys-allpsych	psychology_fam psychology_unexp psychology_exp physics_fam physics_unexp physics_exp both_fam both_unexp both_exp fixation	-0.167 -0.167 -0.167 -0.167 -0.167 -0.167 0.333 0.333 0.333 0
VOE	movies-gt-fixation	psychology_fam psychology_unexp psychology_exp physics_fam physics_unexp physics_exp both_fam both_unexp both_exp fixation	0.11111 0.11111 0.11111 0.11111 0.11111 0.11111 0.11111 0.11111 0.11111 -1
VOE	allfam-gt-alltest-notboth	psychology_fam psychology_unexp psychology_exp physics_fam physics_unexp physics_exp both_fam both_unexp both_exp fixation	1 -0.5 -0.5 1 -0.5 -0.5 0 0 0 0
VOE	allfam-gt-alltest-includingboth	psychology_fam psychology_unexp psychology_exp physics_fam physics_unexp physics_exp both_fam both_unexp both_exp fixation	1 -0.5 -0.5 1 -0.5 -0.5 1 -0.5 -0.5 0
VOE	psychfam-gt-physfam	psychology_fam psychology_unexp psychology_exp physics_fam physics_unexp physics_exp both_fam both_unexp both_exp fixation	1 0 0 -1 0 0 0 0 0 0
VOE	physfam-gt-psychfam	psychology_fam psychology_unexp psychology_exp physics_fam physics_unexp physics_exp both_fam both_unexp both_exp fixation	-1 0 0 1 0 0 0 0 0 0
VOE	psychology_fam	psychology_fam fixation	1 -1
VOE	psychology_unexp	psychology_unexp fixation	1 -1
VOE	psychology_exp	psychology_exp fixation	1 -1
VOE	physics_fam	physics_fam fixation	1 -1
VOE	physics_unexp	physics_unexp fixation	1 -1
VOE	physics_exp	physics_exp fixation	1 -1
VOE	both_fam	both_fam fixation	1 -1
VOE	both_unexp	both_unexp fixation	1 -1
VOE	both_exp	both_exp fixation	1 -1
DOTS	soc-gt-phys	social physics rest	1 -1 0
DOTS	phys-gt-soc	social physics rest	-1 1 0
DOTS	movies-gt-rest	social physics rest	0.5 0.5 -1
spWM	hard-gt-easy	hard easy fixation	1 -1 0
spWM	easy-gt-hard	hard easy fixation	-1 1 0
spWM	stimuli-gt-fixation	hard easy fixation	0.5 0.5 -1
Motion	coherent-gt-incoherent	coherent incoherent rest	1 -1 0
Motion	incoherent-gt-coherent	coherent incoherent rest	-1 1 0
Motion	stimuli-gt-rest	coherent incoherent rest	0.5 0.5 -1